complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
AM-202402,Heat Hazard,Standard,Classified as Heat Hazard based on keywords: temperature,
AM-202405,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Classified as Heat Hazard based on keywords: heat,
AM-202407,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
AM-202410,Pothole,Standard,Classified as Pothole based on keywords: pothole,
AM-202414,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
AM-202417,Waste,Standard,Classified as Waste based on keywords: waste,
AM-202421,Noise,Standard,Classified as Noise based on keywords: music,
AM-202424,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
AM-202429,Heat Hazard,Standard,Classified as Heat Hazard based on keywords: temperature,
AM-202431,Heritage Damage,Standard,Classified as Heritage Damage based on keywords: heritage,
AM-202435,Heat Hazard,Standard,Classified as Heat Hazard based on keywords: heat,
AM-202444,Waste,Standard,Classified as Waste based on keywords: waste,
AM-202445,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
