complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding based on keywords: flood, flooded",
GH-202402,Flooding,Standard,"Classified as Flooding based on keywords: flood, flooded",
GH-202406,Flooding,Standard,Classified as Flooding based on keywords: water,
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage based on keywords: drain blocked,
GH-202410,Pothole,Standard,Classified as Pothole based on keywords: pothole,
GH-202411,Pothole,Urgent,Classified as Pothole based on keywords: pothole,
GH-202412,Pothole,Urgent,Classified as Pothole based on keywords: pothole,
GH-202417,Waste,Standard,"Classified as Waste based on keywords: garbage, waste",
GH-202420,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
GH-202422,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
GH-202424,Flooding,Standard,Classified as Flooding based on keywords: flood,
GH-202428,Waste,Standard,Classified as Waste based on keywords: waste,
GH-202432,Other,Standard,Category cannot be determined from description,NEEDS_REVIEW
GH-202448,Flooding,Standard,"Classified as Flooding based on keywords: flood, flooding",
GH-202438,Flooding,Standard,Classified as Flooding based on keywords: water,
